0	396
1	867
2	1098
3	1181
4	1000
5	898
6	1048
7	752
8	1488
9	932
10	860
11	888
12	994
13	968
14	1511
15	620
16	1173
17	1277
18	929
19	922
20	1012
21	1146
22	969
23	642
24	892
25	1716
26	748
27	1075
28	1000
29	735
30	1401
31	640
32	1407
33	1137
34	573
35	1161
36	1087
37	1177
38	952
39	968
40	950
41	1449
42	1005
43	914
44	1069
45	844
46	1020
47	1020
48	1165
49	1091
50	588
51	1211
52	1047
53	986
54	1423
55	606
56	1405
57	891
58	826
59	662
60	941
61	1847
62	876
63	928
64	1288
65	500
66	912
67	1039
68	920
69	940
70	1159
71	1433
72	1202
73	960
74	0
75	1264
76	1426
77	1531
78	0
79	1396
80	1632
81	0
82	0
83	2560
84	0
85	2320
86	0
87	1896
88	0
89	2273
90	0
91	0
92	2738
93	0
94	2231
95	0
96	2519
97	0
98	0
99	0
100	3166
101	0
102	0
103	3481
104	0
105	0
106	0
107	4033
108	0
109	0
110	2907
111	0
112	0
113	0
114	4054
115	0
116	0
117	0
118	4483
119	0
120	0
121	0
122	4496
123	0
124	0
125	0
126	0
127	4467
128	0
129	0
130	0
131	4938
132	0
133	0
134	0
135	3449
136	0
137	0
138	3460
139	0
140	0
141	3252
142	0
143	0
144	0
145	0
146	0
147	5677
148	0
149	0
150	0
151	0
152	0
153	5796
154	0
155	0
156	0
157	4464
158	0
159	0
160	0
161	4730
162	0
163	0
164	0
165	0
166	5103
167	0
168	0
169	0
170	0
171	0
172	5579
173	0
174	0
175	0
176	0
177	5213
178	0
179	0
180	3578
181	0
182	0
183	0
184	0
185	4328
186	0
187	0
188	0
189	4404
190	0
191	0
192	0
193	4029
194	0
195	0
196	3661
197	0
198	0
199	0
200	3520
201	0
202	2382
203	0
204	0
205	2662
206	1819
207	0
208	0
209	0
210	3117
211	0
212	3015
213	0
214	0
215	2165
216	0
217	2288
218	0
219	2325
220	0
221	2432
222	0
223	0
224	2222
225	1514
226	0
227	1862
228	0
229	1747
230	1623
231	1335
232	0
233	2118
234	697
235	611
236	955
237	1618
238	761
239	1516
240	672
241	1084
242	1157
243	1020
244	1001
245	1119
246	920
247	1191
248	1063
249	880
250	986
251	1218
252	709
253	1295
254	1115
255	519
